label,acc,sn,sp,mcc,f1,recall,roc,pr_auc
toxic: 1k,0.6993227990970655,0.40535714285714286,1.0,0.5020492200207429,0.576874205844981,0.40535714285714286,0.9753432811480757,0.9783779026579914
toxic: 1k,0.8410835214446952,0.6866071428571429,0.9990867579908675,0.7198915423522494,0.8137566137566138,0.6866071428571429,0.9868126223091976,0.9886135385914914
toxic: 1k,0.8880361173814898,0.7794642857142857,0.9990867579908675,0.796403311018685,0.8756268806419257,0.7794642857142857,0.9912712002609262,0.9920520857752224
toxic: 1k,0.9155756207674943,0.8366071428571429,0.9963470319634703,0.8424762263486547,0.9092673459485687,0.8366071428571429,0.9934890737116764,0.9940302268173826
toxic: 1k,0.9286681715575621,0.8642857142857143,0.9945205479452055,0.8650593494532489,0.9245463228271252,0.8642857142857143,0.9941984670580561,0.994726813621739
toxic: 1k,0.9349887133182844,0.8776785714285714,0.993607305936073,0.8761754976268185,0.9317535545023696,0.8776785714285714,0.9950497390737117,0.9954983267811447
toxic: 1k,0.944018058690745,0.8964285714285715,0.9926940639269406,0.8923899438973156,0.9418386491557225,0.8964285714285715,0.9955683300717548,0.9959729039744107
toxic: 1k,0.944920993227991,0.8982142857142857,0.9926940639269406,0.8940434358711709,0.9428303655107778,0.8982142857142857,0.9960755055446836,0.9964416635725601
toxic: 1k,0.9557562076749435,0.9214285714285714,0.9908675799086758,0.9138376524084391,0.9546716003700277,0.9214285714285714,0.9962092302674495,0.9965846311417177
toxic: 1k,0.9571106094808126,0.9223214285714286,0.9926940639269406,0.9166110849853797,0.956038870893105,0.9223214285714286,0.9965671885192432,0.9969068050801164
toxic: 1k,0.9620767494356659,0.9321428571428572,0.9926940639269406,0.925941400998778,0.9613259668508288,0.9321428571428572,0.9966764514024787,0.9969991698220375
toxic: 1k,0.9688487584650113,0.95,0.9881278538812786,0.9384240275744669,0.968593536640874,0.95,0.9968778538812786,0.9971693014669822
toxic: 1k,0.9656884875846501,0.9428571428571428,0.989041095890411,0.9324321223064674,0.9652650822669104,0.9428571428571428,0.9971029028049576,0.997382408982562
toxic: 1k,0.9751693002257337,0.9633928571428572,0.9872146118721461,0.9506283979527792,0.9751468594667873,0.9633928571428572,0.9971673189823874,0.9974462180231699
toxic: 1k,0.9715575620767495,0.9535714285714286,0.9899543378995433,0.9437782131936789,0.9713506139154162,0.9535714285714286,0.997273320287019,0.9975526903885202
toxic: 1k,0.9724604966139955,0.9544642857142858,0.9908675799086758,0.9455847955797549,0.9722601182355616,0.9544642857142858,0.9974502609262883,0.9976748745440399
toxic: 1k,0.9715575620767495,0.9508928571428571,0.9926940639269406,0.9439849503682408,0.9712722298221614,0.9508928571428571,0.9975481082844097,0.9977638790089323
toxic: 1k,0.9702031602708804,0.9491071428571428,0.9917808219178083,0.9413117425561749,0.969890510948905,0.9491071428571428,0.9975489236790607,0.9977859066797168
toxic: 1k,0.9729119638826185,0.95625,0.9899543378995433,0.9463949633892501,0.9727520435967303,0.95625,0.9974845075016308,0.9977164008395133
toxic: 1k,0.9751693002257337,0.9625,0.9881278538812786,0.9506728150091114,0.9751243781094527,0.9625,0.9977258643183301,0.9978918867955354
toxic: 1k,0.9706546275395034,0.9517857142857142,0.9899543378995433,0.9420373662753628,0.9704142011834319,0.9517857142857142,0.9975562622309198,0.9977537103888346
toxic: 1k,0.9742663656884876,0.9598214285714286,0.989041095890411,0.9489646690135463,0.9741730856366109,0.9598214285714286,0.9976345401174167,0.9978233248976794
toxic: 1k,0.9751693002257337,0.9625,0.9881278538812786,0.9506728150091114,0.9751243781094527,0.9625,0.9977209719504241,0.9978732014597494
toxic: 1k,0.9724604966139955,0.9544642857142858,0.9908675799086758,0.9455847955797549,0.9722601182355616,0.9544642857142858,0.9976581865622962,0.9978475257561974
toxic: 1k,0.9715575620767495,0.9508928571428571,0.9926940639269406,0.9439849503682408,0.9712722298221614,0.9508928571428571,0.997862035225049,0.9980277075794797
toxic: 1k,0.9738148984198646,0.9589285714285715,0.989041095890411,0.9480879537723461,0.9737080689029919,0.9589285714285715,0.9977291258969342,0.9979122289385397
toxic: 1k,0.9756207674943567,0.9616071428571429,0.9899543378995433,0.9516483932545391,0.9755434782608696,0.9616071428571429,0.9978555120678407,0.9980043151293999
toxic: 1k,0.9774266365688488,0.9660714285714286,0.989041095890411,0.9551226489401873,0.9774164408310749,0.9660714285714286,0.99772586431833,0.997887248047654
toxic: 1k,0.9742663656884876,0.9589285714285715,0.9899543378995433,0.9490183382746873,0.9741496598639456,0.9589285714285715,0.9976850945857796,0.9978646618729252
toxic: 1k,0.9778781038374718,0.9660714285714286,0.9899543378995433,0.9560468147000579,0.9778581111613195,0.9660714285714286,0.9976720482713634,0.9978615377080291
toxic: 1k,0.9778781038374718,0.9660714285714286,0.9899543378995433,0.9560468147000579,0.9778581111613195,0.9660714285714286,0.9975693085453359,0.9977401290543625
toxic: 1k,0.9783295711060948,0.96875,0.9881278538812786,0.9568521072286983,0.9783588818755635,0.96875,0.9973295825179386,0.9975895930613253
toxic: 1k,0.9769751693002258,0.96875,0.9853881278538813,0.9540937849951054,0.9770373705538046,0.96875,0.9975986627527724,0.9977410518516441
toxic: 1k,0.981489841986456,0.9785714285714285,0.9844748858447488,0.9629968466706244,0.9816390506045678,0.9785714285714285,0.9977250489236791,0.9978476385881254
toxic: 1k,0.9783295711060948,0.9705357142857143,0.9863013698630136,0.9567879353459072,0.9783978397839783,0.9705357142857143,0.9976100782778865,0.9977878226318215
